"k","Misclass_Rate"
154,0.0823065857777222
155,0.0823691287760335
156,0.0824316717743449
157,0.0824316717743449
158,0.0824316717743449
159,0.0824942147726562
160,0.0824942147726562
161,0.0826193007692789
162,0.0826193007692789
163,0.0826818437675902
164,0.0827443867659016
165,0.0827443867659016
166,0.0826193007692789
167,0.0826818437675902
168,0.0828069297642129
169,0.0828069297642129
170,0.082994558759147
171,0.0829320157608355
172,0.0829320157608355
173,0.0829320157608355
174,0.0829320157608355
175,0.0830571017574583
176,0.0832447307523922
177,0.0831821877540809
178,0.083369816749015
179,0.0834323597473263
180,0.0834323597473263
181,0.0834949027456376
182,0.0834323597473263
183,0.0834323597473263
184,0.0834323597473263
185,0.083557445743949
186,0.0836825317405716
187,0.0836199887422603
188,0.0836199887422603
189,0.0836199887422603
190,0.0836199887422603
191,0.0836825317405716
192,0.0836199887422603
193,0.083557445743949
194,0.0834949027456376
195,0.0834323597473263
196,0.0836199887422603
197,0.0836199887422603
198,0.0836825317405716
199,0.0838076177371944
200,0.0837450747388829
201,0.0837450747388829
202,0.0838076177371944
203,0.0837450747388829
204,0.0837450747388829
205,0.0838076177371944
206,0.0839952467321283
207,0.084120332728751
208,0.0841828757270624
209,0.0840577897304396
210,0.0840577897304396
211,0.084120332728751
212,0.084120332728751
213,0.084307961723685
214,0.0841828757270624
215,0.084307961723685
216,0.0842454187253737
217,0.0844330477203077
218,0.0844330477203077
219,0.0844330477203077
220,0.084495590718619
221,0.0846206767152418
222,0.0845581337169304
223,0.0845581337169304
224,0.0845581337169304
225,0.0845581337169304
226,0.0845581337169304
227,0.0846206767152418
228,0.0846206767152418
229,0.0846206767152418
230,0.0845581337169304
231,0.0846206767152418
232,0.0846832197135531
233,0.0846832197135531
234,0.0846832197135531
235,0.0846832197135531
236,0.0847457627118644
237,0.0847457627118644
238,0.0847457627118644
239,0.0846832197135531
240,0.0846832197135531
241,0.0846832197135531
242,0.0846832197135531
243,0.0846832197135531
244,0.0846832197135531
245,0.0846832197135531
246,0.0846832197135531
247,0.0846832197135531
248,0.084870848708487
249,0.0847457627118644
250,0.0847457627118644
251,0.0847457627118644
252,0.0848083057101757
253,0.0846832197135531
254,0.0848083057101757
255,0.0846206767152418
256,0.084870848708487
257,0.084870848708487
258,0.084870848708487
259,0.0848083057101757
260,0.0849333917067985
261,0.0849959347051098
262,0.0849333917067985
263,0.0849333917067985
264,0.0849333917067985
265,0.0849959347051098
266,0.0850584777034211
267,0.0850584777034211
268,0.0849959347051098
269,0.0850584777034211
270,0.0850584777034211
271,0.0850584777034211
272,0.0851210207017324
273,0.0851210207017324
274,0.0851835637000438
275,0.0851210207017324
276,0.0851210207017324
